"","Id2","county","year","population","log_ppl"
"1",40001,"Adair",2010,22731,10.0314849105995
"2",40003,"Alfalfa",2010,5632,8.63621989783788
"3",40005,"Atoka",2010,14161,9.55824698622306
"4",40007,"Beaver",2010,5638,8.63728467167406
"5",40009,"Beckham",2010,22055,10.001294612539
"6",40011,"Blaine",2010,9899,9.20018902091981
"7",40013,"Bryan",2010,42627,10.6602431343062
"8",40015,"Caddo",2010,29674,10.2980265205107
"9",40017,"Canadian",2010,116339,11.6642636219319
"10",40019,"Carter",2010,47789,10.7745507664736
"11",40021,"Cherokee",2010,47121,10.7604740405111
"12",40023,"Choctaw",2010,15227,9.63082544684073
"13",40025,"Cimarron",2010,2457,7.80669637252118
"14",40027,"Cleveland",2010,256920,12.4565200313717
"15",40029,"Coal",2010,5894,8.68169016329764
"16",40031,"Comanche",2010,125389,11.7391761840351
"17",40033,"Cotton",2010,6174,8.7281022050621
"18",40035,"Craig",2010,15060,9.61979750135388
"19",40037,"Creek",2010,70204,11.1591605684476
"20",40039,"Custer",2010,27489,10.2215412036333
"21",40041,"Delaware",2010,41543,10.6344843143698
"22",40043,"Dewey",2010,4823,8.48115142006897
"23",40045,"Ellis",2010,4149,8.33062262033287
"24",40047,"Garfield",2010,60758,11.0146540397756
"25",40049,"Garvin",2010,27554,10.2239029946045
"26",40051,"Grady",2010,52480,10.868187423618
"27",40053,"Grant",2010,4535,8.41958036254924
"28",40055,"Greer",2010,6205,8.73311069763871
"29",40057,"Harmon",2010,2917,7.97831096986772
"30",40059,"Harper",2010,3694,8.21446516075919
"31",40061,"Haskell",2010,12740,9.45250192912615
"32",40063,"Hughes",2010,14020,9.54824016058858
"33",40065,"Jackson",2010,26467,10.1836539529462
"34",40067,"Jefferson",2010,6446,8.77121506237538
"35",40069,"Johnston",2010,10987,9.30446803470088
"36",40071,"Kay",2010,46428,10.7456580044885
"37",40073,"Kingfisher",2010,15056,9.61953186182516
"38",40075,"Kiowa",2010,9430,9.1516513756275
"39",40077,"Latimer",2010,11139,9.31820774284519
"40",40079,"Le Flore",2010,50475,10.829233443181
"41",40081,"Lincoln",2010,34321,10.4435126907065
"42",40083,"Logan",2010,42067,10.64701886432
"43",40085,"Love",2010,9431,9.15175741454389
"44",40087,"McClain",2010,34725,10.4552151676225
"45",40089,"McCurtain",2010,33179,10.4096724246525
"46",40091,"McIntosh",2010,20277,9.91724251776846
"47",40093,"Major",2010,7510,8.92399074475818
"48",40095,"Marshall",2010,15839,9.67023053206242
"49",40097,"Mayes",2010,41288,10.6283271798286
"50",40099,"Murray",2010,13508,9.51103738150546
"51",40101,"Muskogee",2010,71101,11.17185668039
"52",40103,"Noble",2010,11566,9.35582503871816
"53",40105,"Nowata",2010,10513,9.26036786557583
"54",40107,"Okfuskee",2010,12220,9.41082923272559
"55",40109,"Oklahoma",2010,721098,13.4885303293606
"56",40111,"Okmulgee",2010,40118,10.5995803903846
"57",40113,"Osage",2010,47435,10.767115631827
"58",40115,"Ottawa",2010,31840,10.3684786399583
"59",40117,"Pawnee",2010,16592,9.71667593046931
"60",40119,"Payne",2010,77444,11.2573103735091
"61",40121,"Pittsburg",2010,45762,10.7312093313923
"62",40123,"Pontotoc",2010,37600,10.534759329378
"63",40125,"Pottawatomie",2010,69654,11.1512954075661
"64",40127,"Pushmataha",2010,11575,9.35660287895444
"65",40129,"Roger Mills",2010,3641,8.20001364817543
"66",40131,"Rogers",2010,87019,11.3738817645975
"67",40133,"Seminole",2010,25455,10.1446674663364
"68",40135,"Sequoyah",2010,42442,10.655893716971
"69",40137,"Stephens",2010,45105,10.7167483840907
"70",40139,"Texas",2010,20800,9.94270826568941
"71",40141,"Tillman",2010,7989,8.98582087448204
"72",40143,"Tulsa",2010,605197,13.3133093038451
"73",40145,"Wagoner",2010,73413,11.2038563106368
"74",40147,"Washington",2010,51064,10.8408350269359
"75",40149,"Washita",2010,11610,9.35962207469194
"76",40151,"Woods",2010,8895,9.09324460009994
"77",40153,"Woodward",2010,19977,9.90233689077873
"78",40001,"Adair",2011,22527,10.022469868768
"79",40003,"Alfalfa",2011,5641,8.63781663373998
"80",40005,"Atoka",2011,14113,9.55485163741401
"81",40007,"Beaver",2011,5630,8.63586472113374
"82",40009,"Beckham",2011,22326,10.0135071975747
"83",40011,"Blaine",2011,9701,9.17998425196128
"84",40013,"Bryan",2011,43136,10.672113194272
"85",40015,"Caddo",2011,29604,10.2956647663174
"86",40017,"Canadian",2011,119458,11.6907201241405
"87",40019,"Carter",2011,48074,10.7804967694086
"88",40021,"Cherokee",2011,47744,10.7736086835634
"89",40023,"Choctaw",2011,15239,9.63161321028986
"90",40025,"Cimarron",2011,2481,7.8164169836918
"91",40027,"Cleveland",2011,261971,12.4759890895941
"92",40029,"Coal",2011,5932,8.68811670325782
"93",40031,"Comanche",2011,126072,11.7446084513019
"94",40033,"Cotton",2011,6154,8.72485755588199
"95",40035,"Craig",2011,14936,9.61152968522156
"96",40037,"Creek",2011,70662,11.1656632250696
"97",40039,"Custer",2011,27727,10.2301619466772
"98",40041,"Delaware",2011,41374,10.630407943203
