"","county","jan","feb","match","april","may","june","july","aug","sep","oct","nov","dec","meantemp"
"1","adair",37.3,41.7,51.3,59.2,67.4,75.2,80.7,80.4,72.3,60.6,50.6,40.2,59.7416666666667
"2","alfalfa",34,38.3,46.7,56.6,66.6,76,81.5,80.3,71.4,58.9,46,34.9,57.6
"3","atoka",40.6,44.9,53.1,61.5,69.9,77.6,82.5,82.4,74.4,63.2,52.4,42.4,62.075
"4","beaver",33.8,37.4,45.6,55,64.9,74.3,79.4,78.2,69.6,57.4,44.5,34.1,56.1833333333333
"5","beckham",37.3,41,48.9,58.4,68,76.8,81.3,80.4,72,60.5,48.1,37.7,59.2
"6","blaine",36,40.1,48.5,58,67.8,76.8,82,80.9,72.3,60.2,47.7,37.2,58.9583333333333
"7","bryan",41.4,45.6,53.3,61.9,70.5,78,82.5,82.5,74.6,63.8,52.8,42.9,62.4833333333333
"8","caddo",37.8,41.9,50.3,59.5,68.9,77.5,82.6,81.9,73.3,61.5,49.5,38.9,60.3
"9","canadian",37,41.1,49.3,58.9,68.4,77,82.1,81.3,72.6,61,48.6,38.1,59.6166666666667
"10","carter",40.3,44.4,52.3,61.3,70.2,78,82.6,82.5,74.2,63.3,51.9,41.6,61.8833333333333
"11","cherokee",37.4,41.9,51.1,59.5,67.7,75.6,80.8,80.6,72.4,60.9,50.5,40,59.8666666666667
"12","choctaw",41.4,45.6,53.6,61.8,70.2,77.8,82,82.1,74.4,63.5,52.9,43.1,62.3666666666667
"13","cimarron",33,36,44.3,52.6,62.2,71.6,76.9,75.2,67.2,54.9,43.3,33.8,54.25
"14","cleveland",38.1,42.4,50.6,60,69,77.2,82.2,81.6,73.1,61.9,50.1,39.7,60.4916666666667
"15","coal",40.1,44.5,53,61.3,69.8,77.5,82.7,82.5,74.3,63,52.3,42.2,61.9333333333333
"16","comanche",39,43,51.1,60.4,69.7,78,83,82.4,73.8,62.4,50.4,39.8,61.0833333333333
"17","cotton",39.8,43.8,51.9,61.1,70.2,78.3,83,82.7,74.3,63,51.3,40.9,61.6916666666667
"18","craig",34.6,39.3,48,57.8,66.7,74.9,80,79.5,70.8,59.4,48,36.7,57.975
"19","creek",37.1,41.6,50.6,59.5,68.3,76.4,81.2,80.8,72.3,61.2,49.9,39,59.825
"20","custer",36.6,40.5,48.8,58.3,68,77,81.8,80.9,72.3,60.4,48,37.5,59.175
"21","delaware",35.8,40.3,49.9,58.3,66.9,75,80.1,79.8,71.5,59.9,49.5,38.7,58.8083333333333
"22","dewey",35.8,39.8,47.8,57.6,67.4,76.5,81.5,80.5,71.7,59.7,47,36.5,58.4833333333333
"23","ellis",35.1,38.9,46.8,56.6,66.4,75.6,80.4,79.4,70.7,58.8,45.9,35.3,57.4916666666667
"24","garfield",34.8,39.1,47.4,57.3,67.2,76.2,81.7,80.7,71.9,59.6,47,36,58.2416666666667
"25","garvin",39.2,43.4,51.4,60.7,69.6,77.6,82.3,82,73.6,62.6,50.9,40.5,61.15
"26","grady",38.2,42.3,50.8,59.9,69.1,77.5,82.5,82,73.5,61.9,50.1,39.6,60.6166666666667
"27","grant",33.6,38.1,46.4,56.5,66.6,75.8,81.3,80.2,71.3,58.9,46,34.8,57.4583333333333
"28","greer",38.1,41.9,50.2,59.3,68.7,77.4,82.4,81.5,73.2,61.2,49.2,38.8,60.1583333333333
"29","harmon",38.5,42.2,50.4,59.4,68.8,77.3,82.3,81.4,73.2,61.3,49.4,39.2,60.2833333333333
"30","harper",33.8,37.7,46.4,55.7,65.6,75,80.8,79.6,70.8,58,45.3,34.5,56.9333333333333
"31","haskell",39,43.5,52.4,60.5,68.8,76.5,81.6,81.4,73.4,62,51.6,41.3,61
"32","hughes",39.2,43.6,52.4,60.8,69.3,77,82.4,82.1,73.8,62.4,51.6,41.4,61.3333333333333
"33","jackson",39,42.9,51.4,60.2,69.6,78,83.2,82.4,74.1,62.1,50.4,39.9,61.1
"34","jefferson",40.4,44.4,52.2,61.5,70.4,78.2,82.8,82.7,74.4,63.4,51.8,41.5,61.975
"35","johnston",40.5,44.7,52.8,61.5,70,77.7,82.7,82.5,74.4,63.3,52.3,42.3,62.0583333333333
"36","kay",33.7,38.3,46.6,56.9,66.6,75.5,80.9,80,71.2,59,46.5,35.1,57.525
"37","kingfisher",36,40.2,48.4,58.2,67.9,76.7,82.1,81.1,72.4,60.4,47.9,37.2,59.0416666666667
"38","kiowa",38.2,42.1,50.8,59.7,69.2,77.7,83,82.2,73.7,61.7,49.9,39.3,60.625
"39","latimer",39.7,44,52.6,60.8,69.2,76.9,81.6,81.5,73.6,62.4,51.8,41.7,61.3166666666667
"40","le flore",39.7,44,52.4,60.8,69,76.6,81.2,81.1,73.3,62.2,51.6,41.6,61.125
"41","lincoln",37.4,41.8,50.1,59.7,68.6,76.8,81.6,81.1,72.5,61.4,49.7,39.1,59.9833333333333
"42","logan",36.2,40.6,48.9,58.6,68,76.6,81.8,81.2,72.3,60.6,48.5,37.7,59.25
"43","love",41,45.1,52.7,61.7,70.5,78.2,82.7,82.7,74.6,63.7,52.4,42.3,62.3
"44","major",34.9,39.1,47.5,57.1,67.1,76.3,81.8,80.6,71.9,59.4,46.8,36,58.2083333333333
"45","marshall",41,45.2,53.3,61.7,70.4,78.1,83,82.9,74.9,63.7,52.9,42.9,62.5
"46","mayes",36.1,40.7,50,58.7,67.2,75.3,81,80.7,72.3,60.2,49.8,38.9,59.2416666666667
"47","mcclain",38.4,42.6,50.8,60.1,69.2,77.3,82.1,81.6,73.2,62,50.2,39.8,60.6083333333333
"48","mccurtain",41.2,45.4,53.2,61.5,69.8,77.4,81.4,81.5,74,63.1,52.6,42.8,61.9916666666667
"49","mcintosh",38.7,43.2,52.2,60.4,68.8,76.6,81.9,81.6,73.5,61.9,51.4,41,60.9333333333333
"50","murray",39.9,44.1,52,61.1,69.9,77.7,82.4,82.1,73.9,63,51.4,41.1,61.55
"51","muskogee",38.2,42.7,51.8,60.1,68.4,76.2,81.4,81.2,73.1,61.5,51.1,40.7,60.5333333333333
"52","noble",35,39.5,48.3,57.8,67.3,76.1,81.6,80.9,72.1,59.9,47.9,36.7,58.5916666666667
"53","nowata",34.5,39.1,48.3,57.8,66.8,75.1,80.3,79.9,71.1,59.5,48.1,36.7,58.1
"54","okfuskee",38.3,42.8,52,60.3,68.9,76.8,82.1,81.8,73.4,61.9,51.1,40.6,60.8333333333333
"55","oklahoma",37.2,41.5,49.6,59.3,68.5,76.8,82,81.3,72.6,61.2,49.2,38.6,59.8166666666667
"56","okmulgee",38,42.5,51.6,60.1,68.6,76.6,81.8,81.5,73.1,61.7,50.9,40.3,60.5583333333333
"57","osage",34.6,39.2,48.3,57.8,67,75.5,80.7,80.1,71.3,59.6,47.8,36.4,58.1916666666667
"58","ottawa",34.4,39,47.9,57.5,66.4,74.7,79.4,78.9,70.2,59.2,47.9,36.6,57.675
"59","pawnee",35.5,40,49.4,58.3,67.5,75.9,81.2,80.7,72,60.2,48.6,37.5,58.9
"60","payne",36.1,40.6,49.4,58.7,67.9,76.3,81.5,81,72.2,60.6,49,38,59.275
"61","pittsburg",39.5,43.9,52.4,60.8,69.2,77,82,81.8,73.7,62.5,51.6,41.4,61.3166666666667
"62","pontotoc",39.6,43.9,52.2,61,69.7,77.4,82.6,82.3,73.9,62.8,51.6,41.5,61.5416666666667
"63","pottawatomie",38.4,42.8,51,60.3,69.1,77.1,82.2,81.7,73.2,62,50.5,40.1,60.7
"64","pushmataha",40.6,44.9,53.1,61.3,69.7,77.3,81.8,81.8,74.1,63,52.5,42.6,61.8916666666667
"65","roger mills",36.1,39.9,47.6,57.4,67.1,76.1,80.7,79.8,71.2,59.5,46.8,36.4,58.2166666666667
"66","rogers",36,40.6,49.8,58.8,67.5,75.6,80.9,80.6,72,60.3,49.4,38.4,59.1583333333333
"67","seminole",38.8,43.2,51.5,60.6,69.3,77.2,82.4,82,73.5,62.3,51,40.6,61.0333333333333
"68","sequoyah",38.4,42.8,51.5,60,68.2,75.9,80.9,80.7,72.7,61.4,50.8,40.5,60.3166666666667
"69","stephens",39.5,43.6,51.7,60.8,69.9,77.9,82.6,82.4,74,62.8,51.3,40.9,61.45
"70","texas",33.9,37.2,45.3,54.2,64,73.5,78.7,77.2,69,56.5,44.3,34.4,55.6833333333333
"71","tillman",39.5,43.4,51.7,60.7,69.9,78.2,83.4,82.8,74.4,62.5,50.9,40.3,61.475
"72","tulsa",36.6,41.2,50.2,59.2,68,76.1,81.2,80.9,72.3,60.8,49.7,38.7,59.575
"73","wagoner",37.2,41.7,51,59.5,67.9,75.9,81.2,81,72.5,60.9,50.3,39.7,59.9
"74","washington",34.6,39.3,48.6,57.9,66.9,75.3,80.6,80.1,71.3,59.6,48.2,36.9,58.275
"75","washita",37.4,41.3,49.5,58.9,68.5,77.3,82.2,81.3,72.7,61,48.6,38.1,59.7333333333333
"76","woods",33.9,38.1,46.5,56.3,66.3,75.8,81.3,80,71.1,58.6,45.6,34.6,57.3416666666667
"77","woodward",34.7,38.7,46.9,56.6,66.5,75.8,81.2,80.1,71.2,58.8,46,35.2,57.6416666666667
